,DN,Agencia_Capitania,Registro,UF,tipo,N_Tipo
0,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Balsa,11
1,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Barcaça,4
2,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Bote,2116
3,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Canoa,319
4,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Chata,4
5,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Draga,24
6,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Escuna,76
7,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Flutuante,24
8,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Hovercraft,1
9,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Iate,1
10,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Jangada,1
11,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Jet Boat,4
12,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Lancha,1088
13,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Moto-Aquática/similar,182
14,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",16
15,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Outros,480
16,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Passageiro,4
17,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Pesqueiro,14
18,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Saveiro,39
19,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Traineira,115
20,1º ,Agência da Capitania dos Portos em Paraty,AGPRTI,RJ,Veleiro,159
21,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Apoio a Mergulho,1
22,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Balsa,5
23,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Bote,534
24,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Caiaque,4
25,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Canoa,1592
26,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Chata,2
27,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Draga,24
28,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Escuna,1
29,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Jangada,1
30,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Jet Boat,1
31,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Lancha,180
32,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Moto-Aquática/similar,104
33,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",1
34,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Passageiro,4
35,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Pesqueiro,255
36,1º ,Agência da Capitania dos Portos em São João da Barra,AGSJBA,RJ,Traineira,125
37,1º ,Capitania dos Portos de Macaé,CPMCAE,RJ,Apoio a Mergulho,3
38,1º ,Capitania dos Portos de Macaé,CPMCAE,RJ,Balsa,67
39,1º ,Capitania dos Portos de Macaé,CPMCAE,RJ,Barcaça,1
40,1º ,Capitania dos Portos de Macaé,CPMCAE,RJ,Bote,627
41,1º ,Capitania dos Portos de Macaé,CPMCAE,RJ,Caiaque,5
42,1º ,Capitania dos Portos de Macaé,CPMCAE,RJ,Caique,1
43,1º ,Capitania dos Portos de Macaé,CPMCAE,RJ,Canoa,856
44,1º ,Capitania dos Portos de Macaé,CPMCAE,RJ,Carga Geral,3
45,1º ,Capitania dos Portos de Macaé,CPMCAE,RJ,Chata,18
46,1º ,Capitania dos Portos de Macaé,CPMCAE,RJ,Draga,25
47,1º ,Capitania dos Portos de Macaé,CPMCAE,RJ,Escuna,7
48,1º ,Capitania dos Portos de Macaé,CPMCAE,RJ,Flotel,1
